Close,Volume,Open,High,Low
$172.17,86709150,$172.89,$174.14,$171.03
$172,96903960,$172.7,$175.3,$171.64
$174.92,94537600,$179.61,$180.17,$174.64
$179.7,99310440,$182.63,$182.94,$179.12
$182.01,104701200,$177.83,$182.88,$177.71
$177.57,64062260,$178.085,$179.23,$177.26
$178.2,59773010,$179.47,$180.57,$178.09
$179.38,62348930,$179.33,$180.63,$178.14
$179.29,79144340,$180.16,$181.33,$178.53
$180.33,74919580,$177.085,$180.42,$177.07
$176.28,68356570,$175.85,$176.8499,$175.27
$175.64,92135300,$173.04,$175.86,$172.15
$172.99,91185910,$171.555,$173.2,$169.12
$169.75,107499100,$168.28,$170.58,$167.46
$171.14,195923400,$169.93,$173.47,$169.69
$172.26,150185800,$179.28,$181.14,$170.75
$179.3,131063300,$175.11,$179.5,$172.3108
$174.33,139380400,$175.25,$177.74,$172.21
$175.74,153237000,$181.115,$182.13,$175.53
$179.45,115402700,$175.205,$179.63,$174.69
$174.56,108923700,$174.91,$176.75,$173.92
$175.08,116998900,$172.125,$175.96,$170.7
$171.18,120405400,$169.08,$171.58,$168.34
$165.32,107497000,$164.29,$167.8799,$164.28
$161.84,118023100,$164.02,$164.96,$159.72
$163.76,136739200,$158.735,$164.2,$157.8
$164.77,152423000,$167.48,$170.3,$164.53
$165.3,174048100,$159.985,$165.52,$159.92
$160.24,88748220,$159.37,$161.19,$158.7901
$156.81,76959750,$159.565,$160.45,$156.36
$161.94,69463620,$160.75,$162.14,$159.64
$161.41,96041900,$161.12,$161.8,$159.0601
$161.02,117467900,$161.68,$165.7,$161
$160.55,117305600,$157.65,$161.02,$156.5328
$157.87,137827700,$153.71,$158.67,$153.05
$153.49,88807000,$150.995,$155,$150.99
$151,59256210,$149.94,$151.488,$149.34
$150,59222800,$150.37,$151.88,$149.43
$149.99,63804010,$148.43,$150.4,$147.48
$147.87,40999950,$148.96,$149.43,$147.681
$147.92,65187090,$150.02,$150.13,$147.85
$150.81,56787930,$150.2,$151.428,$150.0601
$150.44,55020870,$151.41,$151.57,$150.16
$151.28,65463880,$151.89,$152.2,$150.06
$150.96,60394620,$151.58,$152.43,$150.64
$151.49,54511530,$150.39,$151.97,$149.82
$150.02,69121990,$148.66,$151.57,$148.65
$148.96,74588260,$148.985,$149.7,$147.8
$149.8,124953200,$147.215,$149.94,$146.4128
$152.57,100077900,$149.82,$153.165,$149.72
$148.85,56094930,$149.36,$149.73,$148.49
$149.32,60893400,$149.33,$150.84,$149.0101
$148.64,50720560,$148.68,$149.37,$147.6211
$148.69,58883440,$149.69,$150.18,$148.64
$149.48,61420990,$148.81,$149.64,$147.87
$149.26,58418790,$148.7,$149.7539,$148.12
$148.76,76378890,$147.01,$149.17,$146.55
$146.55,85589180,$143.445,$146.84,$143.16
$144.84,67940330,$143.77,$144.895,$143.51
$143.76,69907100,$142.11,$143.88,$141.51
$140.91,78762720,$141.235,$141.4,$139.2
$141.51,73035860,$143.23,$143.25,$141.0401
$142.81,64452220,$142.27,$144.81,$141.81
$142.9,58773160,$144.03,$144.1781,$142.56
$143.29,61732660,$143.06,$144.215,$142.72
$142,83221120,$139.47,$142.15,$138.37
$141.11,80861060,$139.49,$142.24,$139.36
$139.14,98322010,$141.76,$142.21,$138.27
$142.65,94639580,$141.9,$142.92,$139.1101
$141.5,89056660,$143.66,$144.378,$141.28
$142.83,74602040,$142.47,$144.45,$142.03
$141.91,108972300,$143.25,$144.75,$141.69
$145.37,74150730,$145.47,$145.96,$143.82
$146.92,53477870,$145.66,$147.4701,$145.56
$146.83,64838170,$146.65,$147.08,$145.64
$145.85,76404340,$144.45,$146.43,$143.7001
$143.43,75833960,$143.93,$144.6,$142.78
$142.94,123478900,$143.8,$144.84,$141.27
$146.06,129868800,$148.82,$148.82,$145.76
$148.79,68034150,$148.44,$148.97,$147.221
$149.03,83281320,$148.56,$149.44,$146.37
$148.12,109296300,$150.35,$151.07,$146.91
$149.55,102404300,$150.63,$151.42,$148.75
$148.97,140893200,$155,$155.48,$148.7
$154.07,57305730,$155.49,$156.11,$153.95
$155.11,74420210,$156.98,$157.04,$153.975
$156.69,82278260,$154.97,$157.26,$154.39
$154.3,57866070,$153.76,$154.63,$153.09
$153.65,71171320,$153.87,$154.72,$152.4
$152.51,80313710,$152.83,$154.98,$152.34
$151.83,86453120,$152.66,$152.8,$151.29
$153.12,90956720,$149,$153.49,$148.61
$148.6,55802390,$147.48,$148.75,$146.83
$147.54,48597200,$148.35,$149.12,$147.51
$148.36,58991300,$149.81,$150.32,$147.8
$149.62,48606430,$149.45,$150.86,$149.15
$149.71,60131810,$148.31,$150.19,$147.89
$148.19,60549630,$147.44,$148.5,$146.78
$146.7,86960310,$145.03,$148,$144.5
$146.36,86325990,$149.8,$150.72,$146.15
$150.19,92229740,$150.23,$151.68,$149.09
$151.12,103558800,$148.535,$151.19,$146.47
$149.1,59375010,$148.97,$149.4444,$148.27
$148.89,73779110,$146.19,$149.05,$145.84
$145.86,48493460,$146.05,$146.72,$145.53
$145.6,69023080,$146.44,$147.71,$145.3
$146.09,48908690,$146.2,$146.7,$145.52
$146.14,54126810,$146.35,$147.11,$145.63
$147.06,46397670,$146.98,$147.84,$146.17
$146.95,56368270,$147.27,$147.79,$146.28
$147.36,64786620,$145.81,$148.045,$145.18
$145.52,62879960,$146.36,$146.95,$145.25
$145.86,70440630,$144.38,$146.33,$144.11
$145.64,56699480,$144.685,$146.55,$144.58
$144.98,118931200,$144.81,$146.97,$142.54
$146.77,104818600,$149.12,$149.21,$145.55
$148.99,72434090,$148.27,$149.83,$147.7
$148.56,71447420,$147.55,$148.7177,$146.92
$146.8,77338160,$145.935,$148.195,$145.81
$145.4,74993460,$145.53,$146.13,$144.63
$146.15,96350040,$143.46,$147.0997,$142.96
$142.45,121434600,$143.75,$144.07,$141.67
$146.39,93251430,$148.46,$149.76,$145.88
$148.48,106820300,$149.24,$150,$147.09
$149.15,127050800,$148.1,$149.57,$147.68
$145.64,100827100,$144.03,$147.46,$143.63
$144.5,76299720,$146.21,$146.32,$144
$145.11,99890800,$142.75,$145.65,$142.6522
$143.24,105575500,$141.58,$144.06,$140.665
$144.57,104911600,$143.535,$144.89,$142.66
$142.02,108181800,$140.07,$143.15,$140.07
$139.96,78945570,$137.9,$140,$137.745
$137.27,52485780,$136.6,$137.33,$135.76
$136.96,63261390,$136.17,$137.41,$135.87
$136.33,64556080,$134.8,$136.49,$134.35
$134.78,62111300,$133.41,$135.245,$133.35
$133.11,70783750,$133.46,$133.89,$132.81
$133.41,68711000,$134.45,$134.64,$132.93
$133.7,60214200,$133.77,$134.32,$133.23
$133.98,74783620,$132.13,$134.08,$131.62
$132.3,79663320,$130.3,$132.41,$129.21
$130.46,108953300,$130.71,$131.51,$130.24
$131.79,96721670,$129.8,$132.55,$129.65
$130.15,91815030,$130.37,$130.89,$128.461
$129.64,62746330,$129.94,$130.6,$129.39
$130.48,96906490,$127.82,$130.54,$127.07
$127.35,53522370,$126.53,$127.44,$126.1
$126.11,71186420,$127.02,$128.19,$125.94
$127.13,56877940,$127.21,$127.75,$126.52
$126.74,74403770,$126.6,$128.46,$126.2101
$125.9,71057550,$126.17,$126.32,$124.8321
$125.89,75169340,$124.07,$126.16,$123.85
$123.54,76229170,$124.68,$124.85,$123.13
$125.06,59278860,$124.28,$125.24,$124.05
$124.28,67637120,$125.08,$125.35,$123.94
$124.61,71311110,$125.57,$125.8,$124.55
$125.28,94625600,$126.44,$127.64,$125.08
$126.85,56575920,$126.955,$127.39,$126.42
$126.9,72009480,$127.82,$128.32,$126.32
$127.1,63092950,$126.01,$127.94,$125.94
$125.43,79295440,$127.82,$128,$125.21
$127.31,76857120,$125.23,$127.72,$125.1
$124.69,92611990,$123.16,$124.915,$122.86
$124.85,63342930,$126.56,$126.99,$124.78
$126.27,74116550,$126.82,$126.93,$125.17
$127.45,81917950,$126.25,$127.89,$125.85
$124.97,105861300,$124.58,$126.15,$124.26
$122.77,112172300,$123.4,$124.64,$122.25
$125.91,126142800,$123.5,$126.27,$122.77
$126.85,88071230,$129.41,$129.54,$126.81
$130.21,78973270,$130.85,$131.2582,$129.475
$129.74,78128330,$127.89,$129.75,$127.13
$128.1,84000900,$129.2,$130.45,$127.97
$127.85,137564700,$131.19,$131.4899,$126.7
$132.54,75135100,$132.04,$134.07,$131.83
$131.46,109839500,$131.78,$133.56,$131.065
$133.48,151101000,$136.47,$137.07,$132.45
$133.58,107760100,$134.31,$135.02,$133.08
$134.39,66015800,$135.01,$135.41,$134.11
$134.72,66905070,$134.83,$135.06,$133.56
$134.32,78756780,$132.16,$135.12,$132.16
$131.94,84566460,$133.04,$134.15,$131.41
$133.5,68847140,$132.36,$133.75,$131.3001
$133.11,94812350,$135.02,$135.53,$131.81
$134.84,94264220,$133.51,$135.47,$133.34
$134.16,84922390,$134.3,$134.67,$133.28
$134.5,89347100,$133.82,$135,$133.64
$132.03,87222780,$134.94,$135,$131.655
$134.43,91266550,$132.44,$134.66,$131.93
$131.24,91419980,$132.52,$132.85,$130.63
$132.995,106686700,$129.8,$133.04,$129.47
$130.36,88844590,$128.95,$130.39,$128.52
$127.9,83466720,$125.83,$127.92,$125.14
$126.21,80171250,$126.5,$127.13,$125.65
$125.9,88651180,$123.87,$126.1601,$123.07
$123,75089130,$123.66,$124.18,$122.49
$122.15,118323800,$121.65,$123.52,$121.15
$119.9,85671920,$120.11,$120.4031,$118.86
